Date, AMO 
1931.83333333333,0.03
1931.91666666667,0.09
1932,0.16
1932.08333333333,0.20
1932.16666666667,0.16
1932.25,0.12
1932.33333333333,0.02
1932.41666666667,0.01
1932.5,0.10
1932.58333333333,0.17
1932.66666666667,0.20
1932.75,0.11
1932.83333333333,0.04
1932.91666666667,0.04
1933,0.06
1933.08333333333,0.13
1933.16666666667,0.01
1933.25,0.14
1933.33333333333,0.16
1933.41666666667,0.06
1933.5,0.05
1933.58333333333,0.07
1933.66666666667,0.03
1933.75,0.33
1933.83333333333,0.12
1933.91666666667,0.12
1934,0.12
1934.08333333333,0.25
1934.16666666667,0.22
1934.25,0.25
1934.33333333333,0.30
1934.41666666667,0.16
1934.5,0.12
1934.58333333333,0.15
1934.66666666667,0.06
1934.75,0.10
1934.83333333333,0.01
1934.91666666667,0.05
1935,0.00
1935.08333333333,0.15
1935.16666666667,0.21
1935.25,0.11
1935.33333333333,0.10
1935.41666666667,0.12
1935.5,0.23
1935.58333333333,0.21
1935.66666666667,0.30
1935.75,0.17
1935.83333333333,0.02
1935.91666666667,0.02
1936,0.03
1936.08333333333,0.00
1936.16666666667,0.08
1936.25,0.03
1936.33333333333,0.02
1936.41666666667,0.09
1936.5,0.17
1936.58333333333,0.15
1936.66666666667,0.13
1936.75,0.00
1936.83333333333,0.07
1936.91666666667,0.03
1937,0.07
1937.08333333333,0.06
1937.16666666667,0.04
1937.25,0.07
1937.33333333333,0.00
1937.41666666667,0.35
1937.5,0.36
1937.58333333333,0.36
1937.66666666667,0.39
1937.75,0.22
1937.83333333333,0.24
1937.91666666667,0.28
1938,0.08
1938.08333333333,0.00
1938.16666666667,0.02
1938.25,0.00
1938.33333333333,0.03
1938.41666666667,0.06
1938.5,0.19
1938.58333333333,0.13
1938.66666666667,0.04
1938.75,0.07
1938.83333333333,0.14
1938.91666666667,0.04
1939,0.09
1939.08333333333,0.06
1939.16666666667,0.24
1939.25,0.30
1939.33333333333,0.19
1939.41666666667,0.06
1939.5,0.16
1939.58333333333,0.07
1939.66666666667,0.19
1939.75,0.14
1939.83333333333,0.07
1939.91666666667,0.18
1940,0.30
1940.08333333333,0.17
1940.16666666667,0.12
1940.25,0.13
1940.33333333333,0.17
1940.41666666667,0.23
1940.5,0.18
1940.58333333333,0.21
1940.66666666667,0.23
1940.75,0.35
1940.83333333333,0.36
1940.91666666667,0.37
1941,0.40
1941.08333333333,0.28
1941.16666666667,0.07
1941.25,0.23
1941.33333333333,0.13
1941.41666666667,0.07
1941.5,0.07
1941.58333333333,0.16
1941.66666666667,0.29
1941.75,0.59
1941.83333333333,0.60
1941.91666666667,0.51
1942,0.11
1942.08333333333,0.10
1942.16666666667,0.20
1942.25,0.24
1942.33333333333,0.26
1942.41666666667,0.18
1942.5,0.12
1942.58333333333,0.14
1942.66666666667,0.20
1942.75,0.17
1942.83333333333,0.19
1942.91666666667,0.06
1943,0.01
1943.08333333333,0.01
1943.16666666667,0.13
1943.25,0.07
1943.33333333333,0.03
1943.41666666667,0.09
1943.5,0.16
1943.58333333333,0.12
1943.66666666667,0.03
1943.75,0.07
1943.83333333333,0.10
1943.91666666667,0.11
1944,0.24
1944.08333333333,0.41
1944.16666666667,0.36
1944.25,0.31
1944.33333333333,0.07
1944.41666666667,0.23
1944.5,0.18
1944.58333333333,0.22
1944.66666666667,0.39
1944.75,0.39
1944.83333333333,0.33
1944.91666666667,0.29
1945,0.35
1945.08333333333,0.41
1945.16666666667,0.45
1945.25,0.59
1945.33333333333,0.43
1945.41666666667,0.30
1945.5,0.18
1945.58333333333,0.43
1945.66666666667,0.38
1945.75,0.23
1945.83333333333,0.01
1945.91666666667,0.06
1946,0.00
1946.08333333333,0.04
1946.16666666667,0.05
1946.25,0.09
1946.33333333333,0.15
1946.41666666667,0.42
1946.5,0.42
1946.58333333333,0.37
1946.66666666667,0.17
1946.75,0.12
1946.83333333333,0.15
1946.91666666667,0.22
1947,0.31
1947.08333333333,0.30
1947.16666666667,0.28
1947.25,0.30
1947.33333333333,0.34
1947.41666666667,0.35
1947.5,0.37
1947.58333333333,0.31
1947.66666666667,0.34
1947.75,0.20
1947.83333333333,0.01
1947.91666666667,0.20
1948,0.13
1948.08333333333,0.14
1948.16666666667,0.09
1948.25,0.20
1948.33333333333,0.12
1948.41666666667,0.15
1948.5,0.20
1948.58333333333,0.22
1948.66666666667,0.29
1948.75,0.15
1948.83333333333,0.00
1948.91666666667,0.08
1949,0.11
