Year,ENSO
2012.5833,-0.3
2012.6667,0.4
2012.7500,0.5
2012.8333,0.4
2012.9167,-1.0
2013.0000,-0.1
2013.0833,-0.4
2013.1667,2.5
2013.2500,0.4
2013.3333,1.3
2013.4167,2.0
2013.5000,1.3
2013.5833,0.3
2013.6667,0.5
2013.7500,-0.1
2013.8333,1.2
2013.9167,0.1
2014.0000,2.4
2014.0833,0.1
2014.1667,-1.5
2014.2500,1.3
2014.3333,0.9
2014.4167,0.3
2014.5000,-0.3
2014.5833,-1.2
2014.6667,-1.2
2014.7500,-1.0
2014.8333,-1.5
2014.9167,-0.9
2015.0000,-1.4
2015.0833,0.4
2015.1667,-1.2
2015.2500,-0.1
2015.3333,-1.2
2015.4167,-0.9
2015.5000,-1.9
2015.5833,-2.4
2015.6667,-2.7
2015.7500,-2.8
2015.8333,-0.8
2015.9167,-0.9
2016.0000,-3.6
2016.0833,-3.2
2016.1667,-0.1
2016.2500,-2.0
2016.3333,0.7
2016.4167,1.1
2016.5000,0.7
2016.5833,1.2
2016.6667,2.0
2016.7500,-0.4
2016.8333,-0.2
2016.9167,0.5
2017.0000,0.3
2017.0833,-0.1
2017.1667,1.5
2017.2500,-0.3
2017.3333,0.4
2017.4167,-0.7
2017.5000,1.3
2017.5833,0.9
2017.6667,1.0
2017.7500,1.5
2017.8333,1.5
2017.9167,-0.2
2018.0000,1.8
2018.0833,-0.8
2018.1667,2.4
2018.2500,0.8
2018.3333,0.6
2018.4167,-0.2
2018.5000,0.4
2018.5833,-0.5
2018.6667,-1.5
2018.7500,0.6
2018.8333,-0.1
2018.9167,1.7
2019.0000,-0.1
2019.0833,-2.3
2019.1667,-0.5
2019.2500,0.2
2019.3333,-0.7
2019.4167,-0.7
2019.5000,-0.6
2019.5833,-0.2
2019.6667,-1.9
2019.7500,-0.6
2019.8333,-1.4
2019.9167,-0.9
2020.0000,0.3
2020.0833,-0.1
2020.1667,-0.2
2020.2500,0.3
2020.3333,0.7
2020.4167,-0.6
2020.5000,0.7
2020.5833,1.8
2020.6667,1.5
2020.7500,0.8
2020.8333,1.1
2020.9167,3.0
2021.0000,3.2
2021.0833,2.5
2021.1667,0.6
2021.2500,0.6
2021.3333,0.8
2021.4167,0.7
2021.5000,2.3
2021.5833,1.0
